detector,n_states,clase,coste,vio_2008_oos,ventana_eval,oos_start,oos_end,n_oos,cov_GFC_2008,cov_EuroDebt_2011,cov_COVID_2020,cov_Inflation_2022,fa_TaperTantrum_2013,fa_Selloff_Q4_2018,cov_estres_GFC_2008,cov_estres_EuroDebt_2011,cov_estres_COVID_2020,cov_estres_Inflation_2022,fa_estres_TaperTantrum_2013,fa_estres_Selloff_Q4_2018,switching_rate,mean_regime_duration,label_stability,false_alarm_rate,false_alarm_rate_estres,log_likelihood,aic,bic,leadlag_GFC_2008,leadlag_EuroDebt_2011,leadlag_COVID_2020,leadlag_Inflation_2022,nota
garch_t_vol,2,avanzado,medio,True,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,1.0,0.7411764705882353,0.94,0.8038277511961722,0.1132075471698113,0.873015873015873,1.0,0.7411764705882353,0.94,0.8038277511961722,0.1132075471698113,0.873015873015873,0.0141338487557381,70.15254237288136,0.9993956973652404,0.8451424397370343,0.8451424397370343,-13285.563253642613,26583.126507285226,26626.5624061665,-252.0,-42.0,-158.0,-217.0,binario: estres = crisis (state==1)
markov_switching_var_2s,2,avanzado,alto,True,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,0.9931506849315068,0.7411764705882353,0.96,0.7368421052631579,0.0377358490566037,0.8095238095238095,0.9931506849315068,0.7411764705882353,0.96,0.7368421052631579,0.0377358490566037,0.8095238095238095,0.0556897801401304,17.917748917748916,0.9975766387980128,0.7743533296642818,0.7743533296642818,-13984.167114099146,27980.33422819829,28023.77012707957,-252.0,-43.0,-159.0,-220.0,binario: estres = crisis (state==1)
changepoint_online,2,avanzado,bajo,True,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,1.0,0.6705882352941176,0.84,0.7655502392344498,0.0,0.0,1.0,0.6705882352941176,0.84,0.7655502392344498,0.0,0.0,0.0021744382701135,435.6842105263158,0.999939569736524,0.867430441898527,0.867430441898527,,,,-252.0,-252.0,-204.0,-252.0,binario: estres = crisis (state==1)
rule_vix_threshold,2,baseline,bajo,True,1998-06-23→2026-06-12 (n=6994),1998-06-23,2026-06-12,6994,0.9383561643835616,0.6352941176470588,0.9,0.3492822966507177,0.0,0.0634920634920634,0.9383561643835616,0.6352941176470588,0.9,0.3492822966507177,0.0,0.0634920634920634,0.0131541321132399,75.20430107526882,0.999070499070499,0.6973555337904016,0.6973555337904016,,,,-251.0,-39.0,-17.0,-179.0,binario: estres = crisis (state==1)
turbulence_mahalanobis,2,avanzado,bajo,True,1998-06-02→2026-06-12 (n=6987),1998-06-02,2026-06-12,6987,0.821917808219178,0.4823529411764706,0.76,0.430622009569378,0.1226415094339622,0.3015873015873015,0.821917808219178,0.4823529411764706,0.76,0.430622009569378,0.1226415094339622,0.3015873015873015,0.087304994990697,11.435351882160392,0.9997131382673552,0.8152173913043478,0.8152173913043478,,,,-250.0,-39.0,-15.0,-220.0,binario: estres = crisis (state==1)
msgarch_regime,2,exploratorio-negativo,alto,True,1991-03-04→2026-06-12 (n=8782),1991-03-04,2026-06-12,8782,0.0,0.1176470588235294,0.2,0.3588516746411483,0.0,0.9365079365079364,0.0,0.1176470588235294,0.2,0.3588516746411483,0.0,0.9365079365079364,0.0312001821908449,31.934545454545454,0.8894064872325742,0.94944119212347,0.94944119212347,-13365.45600090871,26750.91200181742,26823.30516661955,,-39.0,-35.0,-220.0,binario: estres = crisis (state==1)
clustering_gmm_k3,3,baseline,medio,False,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,,,0.96,0.8653846153846154,,0.0,,,0.96,0.8653846153846154,,0.7288135593220338,0.126085315213288,7.907462686567164,0.9763794406651548,0.4944567627494456,0.8280542986425339,-29788.98697860256,60391.97395720512,63016.24610431067,,,-20.0,-219.0,"k=3: estres = {correccion(1), crisis(2)}"
hmm_gaussian_2s,2,baseline,medio,False,2012-07-20→2026-06-12 (n=3405),2012-07-20,2026-06-12,3405,,,0.96,0.8605769230769231,0.25,0.4576271186440678,,,0.96,0.8605769230769231,0.25,0.4576271186440678,0.1004405286343612,9.927113702623906,0.9938271604938272,0.7313609467455622,0.7313609467455622,-17381.357596642636,34908.71519328527,35379.407740554816,,,-151.0,-219.0,binario: estres = crisis (state==1)
rule_composite_riskoff,2,baseline,bajo,False,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,,,0.84,0.5384615384615384,,0.423728813559322,,,0.84,0.5384615384615384,,0.423728813559322,0.0385050962627406,25.718446601941743,0.9996220710506424,0.7245080500894454,0.7245080500894454,,,,,,-251.0,-219.0,binario: estres = crisis (state==1)
hmm_tstudent_4s,4,avanzado,alto,False,2012-07-20→2026-06-12 (n=3405),2012-07-20,2026-06-12,3405,,,0.66,0.3317307692307692,0.0,0.0338983050847457,,,0.96,0.9038461538461539,0.0,0.8135593220338984,0.0519823788546255,19.129213483146067,0.8768371546149324,0.5188679245283019,0.794066317626527,-11536.33989589604,23390.67979179208,24415.886846803827,,,-150.0,-172.0,"k=4: estres = {correccion(2), crisis(3)}"
jump_model,2,avanzado,medio,False,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,,,0.72,0.1682692307692307,,0.0,,,0.72,0.1682692307692307,,0.0,0.005285013212533,176.6,0.983371126228269,0.6243386243386243,0.6243386243386243,,,,,,-8.0,-80.0,binario: estres = crisis (state==1)
deep_ae_regime,3,exploratorio-negativo,medio,False,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,,,0.54,0.1009615384615384,,0.1525423728813559,,,0.96,0.7884615384615384,,0.1864406779661017,0.2872782181955455,3.4763779527559056,0.9644746787603932,0.6033057851239669,0.7239583333333334,,,,,,-4.0,,"k=3: estres = {correccion(1), crisis(2)}"
